freq,psd_x,psd_y,psd_z,psd_xyz
157.1,1.084e+04,4.357e+03,1.225e+04,2.745e+04
158.6,1.258e+04,4.653e+03,1.584e+04,3.307e+04
160.1,1.357e+04,4.992e+03,1.711e+04,3.567e+04
161.6,1.455e+04,5.519e+03,1.808e+04,3.814e+04
163.2,1.524e+04,6.059e+03,1.876e+04,4.005e+04
164.7,1.637e+04,6.461e+03,2.056e+04,4.339e+04
166.2,1.844e+04,7.151e+03,2.336e+04,4.895e+04
167.7,2.080e+04,8.020e+03,2.610e+04,5.492e+04
169.3,2.260e+04,8.714e+03,2.837e+04,5.968e+04
170.8,2.570e+04,9.511e+03,3.180e+04,6.701e+04
172.3,2.803e+04,9.978e+03,3.484e+04,7.284e+04
173.8,3.060e+04,1.071e+04,4.133e+04,8.265e+04
175.4,3.403e+04,1.140e+04,4.900e+04,9.443e+04
176.9,3.667e+04,1.119e+04,5.726e+04,1.051e+05
178.4,3.910e+04,1.147e+04,6.591e+04,1.165e+05
179.9,4.259e+04,1.095e+04,7.332e+04,1.268e+05
181.5,4.484e+04,9.770e+03,8.059e+04,1.352e+05
183.0,4.775e+04,9.045e+03,8.928e+04,1.461e+05
184.5,5.266e+04,9.406e+03,9.676e+04,1.588e+05
186.0,5.931e+04,1.199e+04,1.029e+05,1.742e+05
187.6,5.680e+04,1.852e+04,9.343e+04,1.687e+05
189.1,4.583e+04,2.468e+04,7.313e+04,1.436e+05
190.6,3.969e+04,2.905e+04,6.206e+04,1.308e+05
192.1,3.558e+04,3.572e+04,5.527e+04,1.266e+05
193.7,3.700e+04,4.183e+04,5.952e+04,1.383e+05
195.2,3.791e+04,4.858e+04,6.128e+04,1.478e+05
196.7,3.677e+04,5.644e+04,5.916e+04,1.524e+05
198.2,3.258e+04,5.795e+04,5.445e+04,1.450e+05
199.8,2.846e+04,5.807e+04,5.025e+04,1.368e+05
