freq,psd_x,psd_y,psd_z,psd_xyz
141.8,2.689e+03,1.371e+03,5.404e+03,9.465e+03
143.3,2.492e+03,1.522e+03,5.723e+03,9.738e+03
144.9,2.399e+03,2.094e+03,5.794e+03,1.029e+04
146.4,2.405e+03,1.979e+03,5.742e+03,1.013e+04
147.9,2.393e+03,1.635e+03,5.969e+03,9.997e+03
149.4,2.422e+03,1.263e+03,6.228e+03,9.913e+03
151.0,2.492e+03,9.781e+02,6.417e+03,9.887e+03
152.5,2.348e+03,1.171e+03,6.296e+03,9.814e+03
154.0,2.007e+03,1.386e+03,5.655e+03,9.048e+03
155.5,1.527e+03,1.344e+03,4.623e+03,7.494e+03
157.1,1.320e+03,1.352e+03,4.254e+03,6.927e+03
158.6,1.681e+03,1.683e+03,4.988e+03,8.352e+03
160.1,2.344e+03,2.663e+03,5.905e+03,1.091e+04
161.6,2.788e+03,4.195e+03,6.615e+03,1.360e+04
163.2,2.860e+03,5.625e+03,6.322e+03,1.481e+04
164.7,3.129e+03,7.371e+03,6.503e+03,1.700e+04
166.2,3.849e+03,8.792e+03,7.804e+03,2.045e+04
167.7,4.816e+03,9.521e+03,9.479e+03,2.382e+04
169.3,5.425e+03,9.468e+03,1.063e+04,2.552e+04
170.8,5.423e+03,8.856e+03,1.066e+04,2.494e+04
172.3,5.492e+03,9.365e+03,1.119e+04,2.605e+04
173.8,6.039e+03,1.058e+04,1.274e+04,2.935e+04
175.4,5.420e+03,1.099e+04,1.124e+04,2.764e+04
176.9,3.786e+03,9.692e+03,7.428e+03,2.090e+04
178.4,3.497e+03,8.515e+03,7.169e+03,1.918e+04
179.9,4.363e+03,6.709e+03,9.372e+03,2.044e+04
181.5,5.426e+03,5.633e+03,1.171e+04,2.277e+04
183.0,5.467e+03,6.444e+03,1.138e+04,2.329e+04
184.5,4.131e+03,6.432e+03,8.468e+03,1.903e+04
186.0,3.402e+03,6.208e+03,6.830e+03,1.644e+04
187.6,3.040e+03,7.116e+03,6.195e+03,1.635e+04
189.1,2.332e+03,8.062e+03,4.852e+03,1.525e+04
190.6,1.698e+03,7.747e+03,3.696e+03,1.314e+04
192.1,1.543e+03,6.501e+03,3.563e+03,1.161e+04
193.7,1.805e+03,5.526e+03,4.090e+03,1.142e+04
195.2,2.576e+03,4.710e+03,5.333e+03,1.262e+04
196.7,3.493e+03,4.415e+03,7.036e+03,1.494e+04
198.2,4.359e+03,3.991e+03,9.077e+03,1.743e+04
199.8,4.783e+03,3.417e+03,9.991e+03,1.819e+04
