freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.349e+01,2.943e+02,5.811e+02,8.990e+02
1.5,4.751e+01,2.063e+02,3.697e+02,6.235e+02
3.0,4.470e+01,5.713e+01,7.103e+01,1.729e+02
4.6,5.299e+01,5.875e+01,3.896e+02,5.014e+02
6.1,2.249e+02,1.399e+02,1.431e+03,1.795e+03
7.6,2.367e+02,1.447e+02,2.557e+03,2.939e+03
9.1,6.477e+01,5.233e+01,3.932e+03,4.049e+03
10.7,5.725e+01,5.505e+01,4.768e+03,4.880e+03
12.2,5.875e+01,6.627e+01,5.518e+03,5.643e+03
13.7,6.217e+01,7.137e+01,7.111e+03,7.245e+03
15.2,6.790e+01,6.562e+01,9.474e+03,9.608e+03
16.7,7.525e+01,6.459e+01,1.266e+04,1.280e+04
18.3,8.172e+01,5.983e+01,1.663e+04,1.677e+04
19.8,9.037e+01,7.102e+01,2.168e+04,2.184e+04
21.3,1.100e+02,7.716e+01,2.814e+04,2.833e+04
22.8,1.226e+02,1.040e+02,3.580e+04,3.603e+04
24.4,1.246e+02,1.829e+02,4.585e+04,4.616e+04
25.9,1.337e+02,3.333e+02,5.871e+04,5.917e+04
27.4,1.426e+02,5.771e+02,7.416e+04,7.488e+04
28.9,1.353e+02,1.167e+03,9.397e+04,9.527e+04
30.5,1.157e+02,2.512e+03,1.259e+05,1.286e+05
32.0,1.181e+02,4.954e+03,1.799e+05,1.850e+05
33.5,1.514e+02,1.027e+04,2.782e+05,2.886e+05
35.0,1.888e+02,3.605e+04,5.191e+05,5.553e+05
36.5,4.306e+02,1.545e+05,1.251e+06,1.406e+06
38.1,1.597e+03,3.778e+05,2.316e+06,2.695e+06
39.6,2.709e+03,5.013e+05,2.311e+06,2.815e+06
41.1,3.050e+03,4.810e+05,1.564e+06,2.048e+06
42.6,3.276e+03,4.300e+05,9.536e+05,1.387e+06
44.2,3.485e+03,3.856e+05,5.737e+05,9.628e+05
45.7,4.990e+03,3.576e+05,3.489e+05,7.114e+05
47.2,7.416e+03,3.344e+05,2.227e+05,5.644e+05
48.7,6.362e+03,3.066e+05,1.476e+05,4.605e+05
50.2,5.477e+03,3.064e+05,9.878e+04,4.107e+05
51.8,6.888e+03,3.556e+05,7.026e+04,4.327e+05
53.3,1.063e+04,4.510e+05,5.379e+04,5.154e+05
54.8,1.309e+04,6.552e+05,5.441e+04,7.227e+05
56.3,1.328e+04,8.334e+05,6.640e+04,9.131e+05
57.9,1.273e+04,7.336e+05,7.142e+04,8.177e+05
59.4,1.153e+04,5.620e+05,6.996e+04,6.435e+05
60.9,1.102e+04,4.776e+05,7.008e+04,5.587e+05
62.4,1.024e+04,4.234e+05,6.904e+04,5.027e+05
63.9,1.043e+04,3.796e+05,6.537e+04,4.554e+05
65.5,1.070e+04,3.546e+05,6.129e+04,4.266e+05
67.0,9.488e+03,3.314e+05,5.550e+04,3.964e+05
68.5,8.010e+03,2.953e+05,4.976e+04,3.531e+05
70.0,6.494e+03,2.430e+05,4.457e+04,2.941e+05
71.6,4.758e+03,1.977e+05,4.160e+04,2.441e+05
73.1,6.529e+03,1.596e+05,3.986e+04,2.059e+05
74.6,1.596e+04,1.275e+05,3.802e+04,1.814e+05
76.1,2.788e+04,1.024e+05,3.510e+04,1.653e+05
77.6,4.143e+04,8.486e+04,3.242e+04,1.587e+05
79.2,6.611e+04,7.770e+04,3.091e+04,1.747e+05
80.7,9.663e+04,7.336e+04,3.018e+04,2.002e+05
82.2,1.027e+05,6.940e+04,2.952e+04,2.016e+05
83.7,8.737e+04,6.182e+04,2.771e+04,1.769e+05
85.3,5.229e+04,4.768e+04,2.421e+04,1.242e+05
86.8,2.679e+04,3.093e+04,1.837e+04,7.609e+04
88.3,1.782e+04,1.868e+04,1.376e+04,5.027e+04
89.8,1.278e+04,1.413e+04,1.353e+04,4.044e+04
91.4,8.124e+03,1.514e+04,1.478e+04,3.805e+04
92.9,9.033e+03,1.781e+04,1.465e+04,4.149e+04
94.4,1.009e+04,1.981e+04,1.396e+04,4.385e+04
95.9,5.359e+03,1.692e+04,1.320e+04,3.548e+04
97.4,4.082e+03,1.401e+04,1.131e+04,2.940e+04
99.0,3.447e+03,1.017e+04,1.054e+04,2.416e+04
100.5,3.470e+03,6.442e+03,1.053e+04,2.044e+04
102.0,2.647e+03,6.199e+03,1.307e+04,2.192e+04
103.5,2.473e+03,7.018e+03,1.420e+04,2.369e+04
105.1,2.905e+03,7.750e+03,1.314e+04,2.379e+04
106.6,4.987e+03,9.779e+03,1.229e+04,2.706e+04
108.1,9.319e+03,1.243e+04,1.268e+04,3.443e+04
109.6,1.499e+04,1.266e+04,1.202e+04,3.967e+04
111.1,2.314e+04,1.411e+04,1.208e+04,4.933e+04
112.7,3.041e+04,1.422e+04,1.247e+04,5.710e+04
114.2,2.738e+04,1.222e+04,1.286e+04,5.245e+04
115.7,1.820e+04,1.070e+04,1.268e+04,4.158e+04
117.2,1.121e+04,9.736e+03,1.181e+04,3.275e+04
118.8,7.262e+03,8.706e+03,1.123e+04,2.720e+04
120.3,4.597e+03,7.861e+03,1.104e+04,2.350e+04
121.8,2.955e+03,7.624e+03,1.133e+04,2.191e+04
123.3,3.189e+03,8.109e+03,1.151e+04,2.281e+04
124.8,8.390e+03,9.879e+03,1.211e+04,3.038e+04
126.4,3.969e+03,9.897e+03,1.193e+04,2.579e+04
127.9,1.350e+03,9.818e+03,1.188e+04,2.305e+04
129.4,1.114e+03,1.018e+04,1.201e+04,2.331e+04
130.9,1.056e+03,1.018e+04,1.201e+04,2.324e+04
132.5,8.620e+02,6.292e+03,7.155e+03,1.431e+04
134.0,6.384e+02,1.631e+03,1.291e+03,3.561e+03
135.5,7.490e+02,9.342e+02,5.450e+02,2.228e+03
137.0,9.762e+02,6.824e+02,4.382e+02,2.097e+03
138.5,9.040e+02,5.941e+02,3.384e+02,1.836e+03
