freq,psd_x,psd_y,psd_z,psd_xyz
133.5,1.487e+03,1.723e+03,2.193e+03,5.402e+03
135.1,6.426e+02,7.515e+02,5.146e+02,1.909e+03
136.6,6.985e+02,6.369e+02,4.651e+02,1.800e+03
138.1,6.865e+02,6.027e+02,4.183e+02,1.707e+03
139.6,7.201e+02,6.219e+02,4.094e+02,1.751e+03
141.1,1.131e+03,6.880e+02,4.372e+02,2.256e+03
142.6,1.787e+03,8.350e+02,4.952e+02,3.118e+03
144.2,2.518e+03,1.322e+03,5.974e+02,4.438e+03
145.7,3.219e+03,2.108e+03,7.196e+02,6.046e+03
147.2,2.040e+03,2.464e+03,8.187e+02,5.323e+03
148.7,2.269e+03,2.230e+03,8.941e+02,5.393e+03
150.2,3.125e+03,2.184e+03,8.856e+02,6.195e+03
151.7,3.097e+03,2.408e+03,8.424e+02,6.347e+03
153.3,2.686e+03,2.605e+03,8.398e+02,6.131e+03
154.8,2.234e+03,2.741e+03,8.886e+02,5.864e+03
156.3,1.642e+03,2.771e+03,1.094e+03,5.507e+03
157.8,1.284e+03,3.029e+03,1.445e+03,5.758e+03
159.3,1.262e+03,3.227e+03,1.751e+03,6.240e+03
160.8,1.309e+03,2.904e+03,1.876e+03,6.089e+03
162.4,1.457e+03,2.525e+03,1.752e+03,5.734e+03
163.9,1.971e+03,2.287e+03,1.438e+03,5.696e+03
165.4,2.535e+03,1.947e+03,1.070e+03,5.552e+03
166.9,2.397e+03,1.749e+03,8.156e+02,4.962e+03
168.4,2.240e+03,1.787e+03,6.344e+02,4.661e+03
170.0,2.966e+03,1.749e+03,5.392e+02,5.254e+03
171.5,1.694e+03,1.601e+03,5.687e+02,3.863e+03
173.0,9.515e+02,1.516e+03,6.749e+02,3.142e+03
174.5,6.922e+02,1.509e+03,8.549e+02,3.056e+03
176.0,5.127e+02,1.548e+03,1.056e+03,3.117e+03
177.5,4.408e+02,1.553e+03,1.163e+03,3.156e+03
179.1,7.963e+02,1.622e+03,1.235e+03,3.653e+03
180.6,4.611e+03,3.797e+03,1.471e+03,9.879e+03
182.1,4.147e+03,3.174e+03,1.676e+03,8.997e+03
183.6,2.055e+03,1.704e+03,1.841e+03,5.600e+03
185.1,1.764e+03,1.749e+03,1.914e+03,5.428e+03
186.6,1.251e+03,1.642e+03,1.684e+03,4.577e+03
188.2,7.767e+02,1.434e+03,1.400e+03,3.610e+03
189.7,8.297e+02,1.280e+03,1.255e+03,3.365e+03
191.2,7.963e+02,1.132e+03,1.146e+03,3.074e+03
192.7,7.911e+02,9.214e+02,9.825e+02,2.695e+03
194.2,8.259e+02,8.253e+02,9.011e+02,2.552e+03
195.8,7.769e+02,7.196e+02,9.146e+02,2.411e+03
197.3,6.769e+02,6.655e+02,1.146e+03,2.489e+03
198.8,6.586e+02,6.928e+02,1.625e+03,2.977e+03
