freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.324e+02,1.083e+03,2.418e+01,1.739e+03
1.1,2.190e+03,2.644e+03,1.183e+02,4.952e+03
2.2,2.428e+03,2.252e+03,1.384e+02,4.819e+03
3.2,1.410e+03,2.494e+03,1.431e+02,4.047e+03
4.3,7.259e+02,2.176e+03,1.224e+02,3.024e+03
5.4,1.183e+03,2.547e+03,1.228e+02,3.853e+03
6.5,1.644e+03,5.754e+03,1.010e+02,7.499e+03
7.6,1.437e+03,5.449e+03,1.031e+02,6.989e+03
8.6,1.469e+03,4.862e+03,1.132e+02,6.444e+03
9.7,1.327e+03,1.242e+04,1.194e+02,1.387e+04
10.8,1.201e+03,1.830e+04,1.159e+02,1.962e+04
11.9,1.317e+03,1.548e+04,1.245e+02,1.692e+04
12.9,1.872e+03,1.238e+04,1.454e+02,1.439e+04
14.0,1.805e+03,7.441e+03,1.030e+02,9.349e+03
15.1,2.544e+03,5.577e+03,1.221e+02,8.242e+03
16.2,2.486e+03,5.509e+03,1.119e+02,8.107e+03
17.3,3.038e+03,7.521e+03,1.041e+02,1.066e+04
18.3,4.609e+03,1.573e+04,1.218e+02,2.046e+04
19.4,5.615e+03,2.649e+04,1.362e+02,3.224e+04
20.5,9.541e+03,3.984e+04,1.495e+02,4.953e+04
21.6,1.913e+04,1.179e+05,2.050e+02,1.373e+05
22.7,3.868e+04,2.553e+05,2.482e+02,2.943e+05
23.7,4.850e+04,2.148e+05,2.275e+02,2.636e+05
24.8,8.400e+04,2.059e+05,3.019e+02,2.902e+05
25.9,2.081e+05,2.882e+05,4.904e+02,4.969e+05
27.0,5.679e+05,4.921e+05,1.028e+03,1.061e+06
28.1,2.972e+05,2.225e+05,6.774e+02,5.203e+05
29.1,4.585e+04,5.081e+04,2.966e+02,9.696e+04
30.2,4.008e+04,4.482e+04,4.913e+02,8.539e+04
31.3,4.734e+04,4.978e+04,7.633e+02,9.789e+04
32.4,6.364e+04,8.280e+04,1.314e+03,1.478e+05
33.4,1.169e+05,1.997e+05,2.941e+03,3.196e+05
34.5,7.463e+05,1.592e+06,3.215e+04,2.370e+06
35.6,1.328e+06,3.130e+06,8.071e+04,4.538e+06
36.7,9.215e+05,2.479e+06,5.680e+04,3.457e+06
37.8,5.177e+05,1.491e+06,1.648e+04,2.025e+06
38.8,3.620e+05,1.068e+06,4.853e+03,1.435e+06
39.9,3.028e+05,8.733e+05,3.359e+03,1.179e+06
41.0,2.560e+05,7.057e+05,2.741e+03,9.644e+05
42.1,2.309e+05,6.209e+05,2.441e+03,8.542e+05
43.2,2.118e+05,5.335e+05,2.365e+03,7.476e+05
44.2,1.953e+05,4.371e+05,2.345e+03,6.348e+05
45.3,1.762e+05,3.459e+05,2.309e+03,5.244e+05
