freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.124e+03,1.473e+02,1.325e+01,1.285e+03
1.5,7.268e+02,3.321e+02,4.958e+01,1.108e+03
3.0,1.370e+02,2.756e+02,5.488e+01,4.675e+02
4.6,4.828e+02,2.997e+02,6.180e+01,8.443e+02
6.1,2.211e+03,3.549e+02,6.288e+01,2.629e+03
7.6,7.150e+03,4.006e+02,6.877e+01,7.619e+03
9.1,6.051e+03,3.802e+02,6.640e+01,6.498e+03
10.6,5.841e+03,3.515e+02,6.541e+01,6.258e+03
12.1,7.284e+03,3.085e+02,6.548e+01,7.658e+03
13.7,8.121e+03,3.184e+02,6.727e+01,8.507e+03
15.2,9.193e+03,3.423e+02,6.297e+01,9.599e+03
16.7,1.155e+04,4.645e+02,6.509e+01,1.208e+04
18.2,1.450e+04,4.458e+02,5.990e+01,1.500e+04
19.7,1.778e+04,4.228e+02,6.166e+01,1.826e+04
21.2,1.940e+04,4.226e+02,6.564e+01,1.989e+04
22.8,2.285e+04,4.066e+02,6.692e+01,2.332e+04
24.3,2.848e+04,4.363e+02,6.723e+01,2.899e+04
25.8,3.395e+04,4.483e+02,7.449e+01,3.447e+04
27.3,3.958e+04,4.579e+02,8.122e+01,4.012e+04
28.8,4.760e+04,5.253e+02,7.690e+01,4.820e+04
30.3,5.865e+04,5.986e+02,7.345e+01,5.932e+04
31.9,7.173e+04,7.622e+02,8.360e+01,7.258e+04
33.4,8.876e+04,9.874e+02,9.947e+01,8.984e+04
34.9,1.118e+05,1.197e+03,1.361e+02,1.131e+05
36.4,1.395e+05,1.546e+03,1.835e+02,1.412e+05
37.9,1.697e+05,2.217e+03,2.386e+02,1.722e+05
39.5,2.066e+05,3.704e+03,4.496e+02,2.108e+05
41.0,2.611e+05,6.435e+03,1.168e+03,2.687e+05
42.5,3.486e+05,1.054e+04,2.794e+03,3.619e+05
44.0,4.764e+05,1.480e+04,5.691e+03,4.969e+05
45.5,6.681e+05,1.678e+04,8.561e+03,6.934e+05
47.0,9.632e+05,2.062e+04,9.393e+03,9.932e+05
48.6,1.469e+06,3.329e+04,9.088e+03,1.511e+06
50.1,2.493e+06,8.766e+04,7.269e+03,2.588e+06
51.6,4.371e+06,2.633e+05,6.273e+03,4.641e+06
53.1,5.866e+06,5.915e+05,4.121e+03,6.462e+06
54.6,5.422e+06,7.391e+05,3.328e+03,6.165e+06
56.1,4.834e+06,6.282e+05,4.067e+03,5.466e+06
57.7,3.956e+06,3.996e+05,4.792e+03,4.361e+06
59.2,2.682e+06,2.387e+05,4.489e+03,2.926e+06
60.7,1.762e+06,1.325e+05,3.758e+03,1.898e+06
62.2,1.207e+06,7.017e+04,3.279e+03,1.280e+06
63.7,8.220e+05,3.600e+04,2.873e+03,8.608e+05
65.3,5.525e+05,1.627e+04,2.609e+03,5.713e+05
66.8,3.927e+05,8.859e+03,2.343e+03,4.039e+05
68.3,3.035e+05,7.391e+03,1.986e+03,3.129e+05
69.8,2.371e+05,7.177e+03,1.772e+03,2.461e+05
71.3,1.858e+05,7.771e+03,1.496e+03,1.951e+05
72.8,1.544e+05,8.145e+03,1.137e+03,1.637e+05
74.4,1.457e+05,7.588e+03,8.415e+02,1.541e+05
