freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.253e+02,4.849e+01,1.061e+01,8.844e+02
1.5,6.115e+02,2.472e+02,5.306e+01,9.118e+02
3.0,1.726e+02,3.259e+02,5.936e+01,5.579e+02
4.6,5.204e+02,3.159e+02,5.410e+01,8.904e+02
6.1,1.772e+03,3.331e+02,6.100e+01,2.166e+03
7.6,2.458e+03,2.855e+02,5.720e+01,2.801e+03
9.1,3.260e+03,2.562e+02,5.963e+01,3.576e+03
10.7,3.957e+03,2.148e+02,6.107e+01,4.233e+03
12.2,5.071e+03,2.252e+02,5.708e+01,5.354e+03
13.7,6.766e+03,2.223e+02,5.683e+01,7.045e+03
15.2,8.869e+03,2.271e+02,6.308e+01,9.159e+03
16.8,1.142e+04,2.251e+02,6.307e+01,1.171e+04
18.3,1.465e+04,2.486e+02,6.002e+01,1.496e+04
19.8,1.764e+04,2.418e+02,6.330e+01,1.794e+04
21.3,1.947e+04,2.779e+02,6.307e+01,1.981e+04
22.8,2.320e+04,2.685e+02,6.948e+01,2.354e+04
24.4,2.857e+04,2.216e+02,7.328e+01,2.887e+04
25.9,3.400e+04,3.176e+02,6.865e+01,3.439e+04
27.4,3.861e+04,3.301e+02,6.868e+01,3.901e+04
28.9,4.508e+04,3.055e+02,7.732e+01,4.546e+04
30.5,5.583e+04,3.595e+02,9.052e+01,5.628e+04
32.0,6.905e+04,4.009e+02,9.397e+01,6.954e+04
33.5,8.590e+04,4.360e+02,1.068e+02,8.644e+04
35.0,1.112e+05,6.209e+02,1.189e+02,1.119e+05
36.5,1.354e+05,5.331e+02,1.223e+02,1.361e+05
38.1,1.673e+05,5.771e+02,1.271e+02,1.680e+05
39.6,2.154e+05,7.653e+02,1.193e+02,2.163e+05
41.1,2.788e+05,1.055e+03,1.140e+02,2.800e+05
42.6,3.552e+05,1.538e+03,1.571e+02,3.569e+05
44.2,4.440e+05,1.560e+03,3.191e+02,4.458e+05
45.7,5.656e+05,1.579e+03,7.731e+02,5.679e+05
47.2,7.470e+05,1.621e+03,2.008e+03,7.506e+05
48.7,1.058e+06,1.503e+03,2.815e+03,1.062e+06
50.3,1.563e+06,1.999e+03,2.664e+03,1.568e+06
51.8,2.285e+06,2.742e+03,1.568e+03,2.290e+06
53.3,3.297e+06,5.668e+03,8.241e+02,3.304e+06
54.8,4.008e+06,9.258e+03,6.692e+02,4.017e+06
56.3,3.718e+06,1.009e+04,5.396e+02,3.729e+06
57.9,2.736e+06,1.029e+04,3.471e+02,2.746e+06
59.4,1.841e+06,1.064e+04,2.611e+02,1.851e+06
60.9,1.234e+06,9.636e+03,3.063e+02,1.244e+06
62.4,8.121e+05,9.552e+03,4.103e+02,8.221e+05
64.0,5.185e+05,1.236e+04,7.414e+02,5.316e+05
65.5,3.437e+05,1.282e+04,1.228e+03,3.577e+05
67.0,2.368e+05,8.341e+03,1.141e+03,2.462e+05
68.5,1.755e+05,5.443e+03,7.874e+02,1.817e+05
70.0,1.461e+05,6.859e+03,8.863e+02,1.539e+05
71.6,1.319e+05,8.154e+03,1.034e+03,1.411e+05
73.1,1.318e+05,1.108e+04,1.243e+03,1.442e+05
74.6,1.208e+05,1.106e+04,1.402e+03,1.332e+05
76.1,1.169e+05,9.405e+03,1.354e+03,1.277e+05
77.7,1.197e+05,8.037e+03,1.203e+03,1.290e+05
79.2,1.106e+05,5.395e+03,1.042e+03,1.170e+05
80.7,9.582e+04,3.583e+03,9.508e+02,1.004e+05
82.2,8.203e+04,2.017e+03,8.382e+02,8.488e+04
83.8,7.257e+04,1.196e+03,7.046e+02,7.447e+04
85.3,6.503e+04,8.606e+02,6.669e+02,6.656e+04
86.8,5.838e+04,7.048e+02,7.403e+02,5.982e+04
88.3,5.274e+04,5.756e+02,8.854e+02,5.420e+04
89.8,4.955e+04,1.062e+03,1.150e+03,5.176e+04
91.4,4.914e+04,2.094e+03,1.403e+03,5.264e+04
92.9,4.882e+04,3.097e+03,1.201e+03,5.312e+04
94.4,4.487e+04,3.388e+03,1.186e+03,4.945e+04
95.9,3.495e+04,7.978e+02,1.151e+03,3.689e+04
97.5,3.058e+04,1.001e+03,1.112e+03,3.270e+04
99.0,2.460e+04,1.263e+03,8.413e+02,2.671e+04
100.5,2.354e+04,1.237e+03,1.295e+03,2.608e+04
102.0,3.369e+04,7.304e+02,2.342e+03,3.677e+04
103.5,5.377e+04,5.051e+02,1.933e+03,5.620e+04
105.1,7.857e+04,1.059e+03,1.431e+03,8.106e+04
106.6,8.533e+04,2.390e+03,1.171e+03,8.889e+04
108.1,7.284e+04,3.068e+03,1.316e+03,7.723e+04
109.6,5.780e+04,2.290e+03,1.985e+03,6.207e+04
111.2,5.473e+04,1.157e+03,2.228e+03,5.812e+04
112.7,5.644e+04,5.205e+02,2.459e+03,5.942e+04
114.2,4.997e+04,4.501e+02,2.577e+03,5.299e+04
115.7,4.224e+04,6.057e+02,2.645e+03,4.549e+04
117.3,3.682e+04,9.186e+02,2.551e+03,4.029e+04
118.8,3.454e+04,1.064e+03,2.429e+03,3.803e+04
120.3,3.265e+04,9.108e+02,2.410e+03,3.597e+04
121.8,2.888e+04,6.238e+02,2.323e+03,3.182e+04
123.3,2.528e+04,8.372e+02,2.257e+03,2.837e+04
124.9,2.571e+04,2.118e+03,2.373e+03,3.020e+04
126.4,2.160e+04,1.057e+03,2.081e+03,2.474e+04
127.9,2.078e+04,5.423e+02,2.065e+03,2.339e+04
129.4,2.212e+04,5.510e+02,2.080e+03,2.476e+04
131.0,2.363e+04,5.652e+02,1.977e+03,2.617e+04
132.5,1.446e+04,6.298e+02,1.125e+03,1.621e+04
134.0,2.239e+03,5.530e+02,2.799e+02,3.072e+03
135.5,9.513e+02,5.605e+02,2.181e+02,1.730e+03
137.1,8.887e+02,5.629e+02,2.583e+02,1.710e+03
138.6,1.059e+03,5.300e+02,2.839e+02,1.873e+03
140.1,1.420e+03,6.002e+02,3.149e+02,2.335e+03
141.6,1.947e+03,7.451e+02,3.684e+02,3.061e+03
143.1,2.122e+03,8.793e+02,4.021e+02,3.403e+03
144.7,1.818e+03,8.960e+02,3.897e+02,3.104e+03
146.2,1.948e+03,1.031e+03,3.861e+02,3.365e+03
147.7,2.384e+03,1.143e+03,3.847e+02,3.912e+03
149.2,3.006e+03,1.399e+03,3.786e+02,4.784e+03
150.8,4.099e+03,1.737e+03,3.732e+02,6.208e+03
152.3,5.858e+03,2.052e+03,4.204e+02,8.330e+03
153.8,8.050e+03,2.073e+03,4.328e+02,1.056e+04
155.3,1.065e+04,2.013e+03,3.898e+02,1.306e+04
156.8,1.456e+04,1.920e+03,3.817e+02,1.686e+04
158.4,1.810e+04,1.864e+03,4.608e+02,2.043e+04
